name,prompt,negative_prompt
Masashi Kishimoto,art by Masashi Kishimoto,
Mat Collishaw,art by Mat Collishaw,
Mati Klarwein,art by Mati Klarwein,
Matt Groening,art by Matt Groening,
Matthias Grunewald,art by Matthias Grunewald,
Matti Suuronen,art by Matti Suuronen,
Maurice Sendak,art by Maurice Sendak,
Max Beckmann,art by Max Beckmann,
Max Ernst,art by Max Ernst,
Max Pechstein,art by Max Pechstein,
Max Weber,art by Max Weber,
Maxfield Parrish,art by Maxfield Parrish,
Meret Oppenheim,art by Meret Oppenheim,
Michael Deforge,art by Michael Deforge,
Michael Whelan,art by Michael Whelan,
Michelangelo,art by Michelangelo,
Mike Mignola,art by Mike Mignola,
Mikhail Vrubel,art by Mikhail Vrubel,
Miles Aldridge,art by Miles Aldridge,
Milton Avery,art by Milton Avery,
Milton Glaser,art by Milton Glaser,
Moebius (Jean Giraud),art by Moebius (Jean Giraud),
Mort Drucker,art by Mort Drucker,
Nan Goldin,art by Nan Goldin,
Nao Emoto,art by Nao Emoto,
Naoto Hattori,art by Naoto Hattori,
Natalia Goncharova,art by Natalia Goncharova,
Neil Welliver,art by Neil Welliver,
Nele Zirnite,art by Nele Zirnite,
Nell Dorr,art by Nell Dorr,
Nicholas Roerich,art by Nicholas Roerich,
Nick Knight,art by Nick Knight,
Nikos Economopoulos,art by Nikos Economopoulos,
Nobuyoshi Araki,art by Nobuyoshi Araki,
Noriyoshi Ohrai,art by Noriyoshi Ohrai,
Norman Rockwell,art by Norman Rockwell,
Nychos,art by Nychos,
Odd Nerdrum,art by Odd Nerdrum,
Odilon Redon,art by Odilon Redon,
Oliver Jeffers,art by Oliver Jeffers,
Oskar Kokoschka,art by Oskar Kokoschka,
Oskar Schlemmer,art by Oskar Schlemmer,
Otto Dix,art by Otto Dix,
Otto Marseus van Schrieck,art by Otto Marseus van Schrieck,
Pablo Picasso,art by Pablo Picasso,
Pascal Campion,art by Pascal Campion,
Patrick Henry Bruce,art by Patrick Henry Bruce,
Patrick Heron,art by Patrick Heron,
Patrick Nagel,art by Patrick Nagel,
Patrick Woodroffe,art by Patrick Woodroffe,
Paul Cezanne,art by Paul Cezanne,
Paul Delvaux,art by Paul Delvaux,
Paul Gauguin,art by Paul Gauguin,
Paul Gustav Fischer,art by Paul Gustav Fischer,
Paul Klee,art by Paul Klee,
Paul Rand,art by Paul Rand,
Paula Modersohn-Becker,art by Paula Modersohn-Becker,
Pendleton Ward,art by Pendleton Ward,
Peter Bagge,art by Peter Bagge,
Peter Elson,art by Peter Elson,
Peter Gric,art by Peter Gric,
Peter Kemp,art by Peter Kemp,
Peter Max,art by Peter Max,
Peter Paul Rubens,art by Peter Paul Rubens,
Phil Foglio,art by Phil Foglio,
Philip Guston,art by Philip Guston,
Philip Pearlstein,art by Philip Pearlstein,
Philip-Lorca diCorcia,art by Philip-Lorca diCorcia,
Pierre Bonnard,art by Pierre Bonnard,
Piet Mondrian,art by Piet Mondrian,
Pieter Claesz,art by Pieter Claesz,
Platon,art by Platon,
Quentin Blake,art by Quentin Blake,
Rachel Ignotofsky,art by Rachel Ignotofsky,
Rafal Olbinski,art by Rafal Olbinski,
Ralph McQuarrie,art by Ralph McQuarrie,
Ralph Steadman,art by Ralph Steadman,
Ramón Casas,art by Ramón Casas,
Randolph Caldecott,art by Randolph Caldecott,
Raphael Lacoste,art by Raphael Lacoste,
Raphaelite,art by Raphaelite,
Ray Caesar,art by Ray Caesar,
Ray Earnes,art by Ray Earnes,
Raymond Briggs,art by Raymond Briggs,
Raymond Swanland,art by Raymond Swanland,
Rebeca Saray,art by Rebeca Saray,
Rebecca Guay,art by Rebecca Guay,
Reginald Marsh,art by Reginald Marsh,
Remedios Varo,art by Remedios Varo,
René Magritte,art by René Magritte,
Richard Corben,art by Richard Corben,
Richard Dadd,art by Richard Dadd,
Richard Diebenkorn,art by Richard Diebenkorn,
Richard Doyle,art by Richard Doyle,
Richard Scarry,art by Richard Scarry,
Ridley Scott,art by Ridley Scott,
Rineke Dijkstra,art by Rineke Dijkstra,
Rob Gonsalves,art by Rob Gonsalves,
Rob Liefeld,art by Rob Liefeld,
Robert Bechtle,art by Robert Bechtle,
Robert Capa,art by Robert Capa,
Robert Crumb,art by Robert Crumb,
Robert Delaunay,art by Robert Delaunay,
Robert McCall,art by Robert McCall,
Robert McGinnis,art by Robert McGinnis,
Robert Motherwell,art by Robert Motherwell,
Robert Rauschenberg,art by Robert Rauschenberg,
Robert Williams,art by Robert Williams,
Roberto Ferri,art by Roberto Ferri,
Roberto Matta,art by Roberto Matta,
Rockwell Kent,art by Rockwell Kent,
Rodney Matthews,art by Rodney Matthews,
Rodrigo Prieto,art by Rodrigo Prieto,
Roger Dean,art by Roger Dean,
Romare Bearden,art by Romare Bearden,
Romero Britto,art by Romero Britto,
Ron Walotsky,art by Ron Walotsky,
Rosa Bonheur,art by Rosa Bonheur,
Roy Lichtenstein,art by Roy Lichtenstein,
Rudolf Hausner,art by Rudolf Hausner,
Rufino Tamayo,art by Rufino Tamayo,
Russ Mills,art by Russ Mills,
Ruth Bernhard,art by Ruth Bernhard,
Ryan Hewett,art by Ryan Hewett,
Ryo Takemasa,art by Ryo Takemasa,
Ryohei Hase,art by Ryohei Hase,
Sally Mann,art by Sally Mann,
Salvador Dali,art by Salvador Dali,
Sam Bosma,art by Sam Bosma,
Sam Francis,art by Sam Francis,
Sam Guay,art by Sam Guay,
Sam Toft,art by Sam Toft,
Santiago Caruso,art by Santiago Caruso,
Satoshi Kon,art by Satoshi Kon,
Sebastian Krüger,art by Sebastian Krüger,
Sebastião Salgado,art by Sebastião Salgado,
Sergio Toppi,art by Sergio Toppi,
Shaun Tan,art by Shaun Tan,
Shepard Fairey,art by Shepard Fairey,
Shiki,art by Shiki,
Shinji Aramaki,art by Shinji Aramaki,
Shotaro Ishinomori,art by Shotaro Ishinomori,
Sidney Nolan,art by Sidney Nolan,
Sidney Prior Hall,art by Sidney Prior Hall,
Simon Bisley,art by Simon Bisley,
Simon Stålenhag,art by Simon Stålenhag,
Simone Martini,art by Simone Martini,
Sir James Guthrie,art by Sir James Guthrie,
Sir Max Beerbohm,art by Sir Max Beerbohm,
Sonia Delaunay,art by Sonia Delaunay,
Stanley Donwood,art by Stanley Donwood,
Stefan Gesell,art by Stefan Gesell,
Stephanie Law,art by Stephanie Law,
Stephen Gammell,art by Stephen Gammell,
Steve Argyle,art by Steve Argyle,
Steve Dillon,art by Steve Dillon,
Steve Ditko,art by Steve Ditko,
Steve McCurry,art by Steve McCurry,
Storm Thorgerson,art by Storm Thorgerson,
Stuart Davis,art by Stuart Davis,
Syd Mead,art by Syd Mead,
Sylvain Chomet,art by Sylvain Chomet,
Taiyo Matsumoto,art by Taiyo Matsumoto,
Takashi Murakami,art by Takashi Murakami,
Takato Yamamoto,art by Takato Yamamoto,
Takehiko Inoue,art by Takehiko Inoue,
Taro Okamoto,art by Taro Okamoto,
Tarsila do Amaral,art by Tarsila do Amaral,
Tatsuro Kiuchi,art by Tatsuro Kiuchi,
Ted Nasmith,art by Ted Nasmith,
Terry O'Neill,art by Terry O'Neill,
Terry Oakes,art by Terry Oakes,
Tex Avery,art by Tex Avery,
Theodor Seuss Geisel (dr. seuss),art by Theodor Seuss Geisel,
Thomas Cole,art by Thomas Cole,
Thomas Gainsborough,art by Thomas Gainsborough,
Thomas Kinkade,art by Thomas Kinkade,
Tibor Nagy,art by Tibor Nagy,
Tillie Walden,art by Tillie Walden,
Tim Burton,art by Tim Burton,
Tim Doyle,art by Tim Doyle,
Tim Hildebrandt,art by Tim Hildebrandt,
Tim White,art by Tim White,
Tivadar Csontvary Kosztka,art by Tivadar Csontvary Kosztka,
Todd McFarlane,art by Todd McFarlane,
Tom Bagshaw,art by Tom Bagshaw,
Tom Lovell,art by Tom Lovell,
Tom Thomson,art by Tom Thomson,
Tom Whalen,art by Tom Whalen,
Tomasz Alen Kopera,art by Tomasz Alen Kopera,
Tomasz Jedruszek,art by Tomasz Jedruszek,
Tomek Setowski,art by Tomek Setowski,
Tomer Hanuka,art by Tomer Hanuka,
Tomi Ungerer,art by Tomi Ungerer,
Tomioka Tessai,art by Tomioka Tessai,
Tommaso Dolabella,art by Tommaso Dolabella,
Tommaso Masaccio,art by Tommaso Masaccio,
Tommaso Redi,art by Tommaso Redi,
Tomokazu Matsuyama,art by Tomokazu Matsuyama,
Tomàs Barceló,art by Tomàs Barceló,
Tony DiTerlizzi,art by Tony DiTerlizzi,
Tove Jansson,art by Tove Jansson,
Tsutomu Nihei,art by Tsutomu Nihei,
Ub Iwerks,art by Ub Iwerks,
Van Herpen,art by Van Herpen,
Victo Ngai,art by Victo Ngai,
Victor Brauner,art by Victor Brauner,
Victor Moscoso,art by Victor Moscoso,
Victor Ngai,art by Victor Ngai,
Victor Vasarely,art by Victor Vasarely,
Viktor Vasnetsov,art by Viktor Vasnetsov,
Vilhelm Hammershoi,art by Vilhelm Hammershoi,
Vilmos Zsigmond,art by Vilmos Zsigmond,
Vincent van Gogh,art by Vincent van Gogh,
Virgil Finlay,art by Virgil Finlay,
Walt Disney,art by Walt Disney,
Walter Crane,art by Walter Crane,
Wassily Kandinsky,art by Wassily Kandinsky,
Wayne Barlowe,art by Wayne Barlowe,
Weegee,art by Weegee,
Wes Anderson,art by Wes Anderson,
Wifredo Lam,art by Wifredo Lam,
Will Simpson,art by Will Simpson,
William Blake,art by William Blake,
William Gropper,art by William Gropper,
William Henry Hunt,art by William Henry Hunt,
William Hogarth,art by William Hogarth,
William Morris,art by William Morris,
William S Burroughs,art by William S Burroughs,
William Stout,art by William Stout,
William-Adolphe Bouguereau,art by William-Adolphe Bouguereau,
Winslow Homer,art by Winslow Homer,
Wong Kar-Wai,art by Wong Kar-Wai,
Yaacov Agam,art by Yaacov Agam,
Yayoi Kusama,art by Yayoi Kusama,
Yoshitaka Amano,art by Yoshitaka Amano,
Yousuf Karsh,art by Yousuf Karsh,
Yuumei,art by Yuumei,
Yves Klein,art by Yves Klein,
Yves Tanguy,art by Yves Tanguy,
Zack Snyder,art by Zack Snyder,
Zaha Hadid,art by Zaha Hadid,
Zdzislaw Beksinski,art by Zdzislaw Beksinski,
